Ticker,ApiTicker,RS_Rating,base_break,within_buy_range,volume_up_on_break,pivot,buy_upper,current_price,vol_ratio,high_52w,near_high
WULF,US:WULF,97,False,False,False,18.03,18.931500000000003,17.92,1.295815322631842,18.51,True
AAOI,US:AAOI,96,True,True,False,56.61,59.4405,58.12,0.7227450048238929,59.25,True
ACMR,US:ACMR,96,False,False,False,71.65,75.23250000000002,68.47,0.9287455370583974,71.65,True
ALXO,US:ALXO,96,False,False,False,2.66,2.793,2.42,1.523942690923739,2.66,True
APLM,US:APLM,96,False,False,False,21.99,23.0895,21.0,0.8663883089770354,42.12,False
ARWR,US:ARWR,96,False,False,False,76.11,79.91550000000001,61.615,0.6537444982409506,76.76,False
ASMG,US:ASMG,96,True,True,False,42.85,44.99250000000001,43.935,0.8458085774329969,45.082,True
AUGO,US:AUGO,96,True,True,False,81.65,85.73250000000002,84.67,1.3337507284555874,87.24,True
BLTE,US:BLTE,96,False,False,False,200.0,210.0,188.04,1.0563413023869965,200.0,True
BTM,US:BTM,96,False,False,False,6.783,7.12215,5.05,0.30339496314016173,6.88,False
CDE,US:CDE,96,False,False,False,26.57,27.898500000000002,24.59,0.5756734863410008,27.77,True
CENX,US:CENX,96,False,False,False,55.61,58.3905,53.02,1.188668482408992,55.99,True
CIFR,US:CIFR,96,False,False,False,19.305,20.27025,16.61,0.9839524761077886,25.52,False
CNTX,US:CNTX,96,False,False,False,2.85,2.9925,2.43,0.325437586392847,2.85,True
COHR,US:COHR,96,True,True,True,261.33,274.3965,267.9,1.44083340731516,276.5,True
EXK,US:EXK,96,False,False,False,14.13,14.836500000000001,13.24,0.7548013511897437,15.15,True
FET,US:FET,96,False,False,False,62.73,65.8665,59.0,1.9035177333176627,63.58,True
FIX,US:FIX,96,False,False,False,1480.97,1555.0185000000001,1450.6,0.6994477499775928,1500.0,True
GLSI,US:GLSI,96,False,False,False,34.1,35.805,26.13,0.2948396146321657,34.1,False
GLW,US:GLW,96,True,True,True,152.91,160.5555,160.43,2.0583259782288907,162.1,True
GORO,US:GORO,96,False,False,False,1.81,1.9005,1.39,0.4428875339701695,1.87,False
GPCR,US:GPCR,96,False,False,False,92.06,96.66300000000001,66.53,0.4152035299056446,94.9,False
HBM,US:HBM,96,False,False,False,28.74,30.177,27.71,1.0033701237953876,28.74,True
HUT,US:HUT,96,False,False,False,66.07,69.37349999999999,55.3,1.1132488169550694,66.07,False
IAG,US:IAG,96,False,False,False,23.13,24.2865,22.99,0.6774259657515599,23.36,True
IBIO,US:IBIO,96,True,False,True,2.72,2.8560000000000003,2.87,1.4881026495227503,6.89,False
IRD,US:IRD,96,False,False,False,3.97,4.168500000000001,3.5,0.7871091032704993,3.97,True
IREN,US:IREN,96,False,False,False,63.59,66.76950000000001,44.03,0.8222238944804168,76.87,False
IRWD,US:IRWD,96,False,False,False,5.3,5.565,3.36,2.403211539204619,5.78,False
ISSC,US:ISSC,96,True,True,False,25.15,26.4075,25.24,0.5743471138093862,25.75,True
LVLU,US:LVLU,96,False,False,False,23.67,24.853500000000004,15.57,0.08178576285528642,32.319,False
MAGH,US:MAGH,96,False,False,False,6.76,7.098,6.76,0.0,6.94,True
MCRP,US:MCRP,96,False,False,False,4.48,4.704000000000001,4.0,0.6178926131830065,5.64,False
MUX,US:MUX,96,False,False,False,29.7,31.185000000000002,27.09,3.2098160078801956,29.7,True
NAUT,US:NAUT,96,False,False,False,2.93,3.0765000000000002,2.89,1.5012882491646864,3.08,True
NERV,US:NERV,96,False,False,False,6.69,7.024500000000001,6.23,0.601275878082761,12.46,False
NGD,US:NGD,96,False,False,False,13.07,13.723500000000001,12.19,0.3733014805245544,13.63,True
NMRA,US:NMRA,96,False,False,False,3.65,3.8325,3.46,0.19606049047643195,3.65,True
OIS,US:OIS,96,False,False,False,14.45,15.1725,13.43,2.4824152558803227,14.5,True
OPEN,US:OPEN,96,False,False,False,6.0,6.300000000000001,4.98,0.5926738566732358,10.87,False
OVID,US:OVID,96,False,False,False,1.84,1.9320000000000002,1.62,1.3803969715571927,2.01,False
PACS,US:PACS,96,False,False,False,42.09,44.194500000000005,39.31,0.4934253231699401,43.08,True
POWL,US:POWL,96,False,False,False,612.5,643.125,549.0,0.7980648356253095,612.5,True
SBSW,US:SBSW,96,False,False,False,21.29,22.3545,16.77,1.0936185415818618,21.29,False
SEPN,US:SEPN,96,False,False,False,31.37,32.938500000000005,29.99,1.6274821232591905,32.63,True
SII,US:SII,96,True,True,False,158.67,166.6035,162.26,0.985369124302579,163.72,True
SKYT,US:SKYT,96,False,False,False,34.0,35.7,28.8,0.3239311607665466,36.268,False
SRZN,US:SRZN,96,False,False,False,27.96,29.358,27.03,0.3961979535830471,27.96,True
STOK,US:STOK,96,False,False,False,37.73,39.616499999999995,35.5,0.6037225042301184,38.693,True
TSMU,US:TSMU,96,False,False,False,68.739,72.17595000000001,68.238,0.6954119918848232,69.31,True
TTI,US:TTI,96,False,False,False,12.54,13.167,11.14,1.0900488572807148,12.54,True
TYRA,US:TYRA,96,True,True,False,34.07,35.7735,34.5,0.923615594446674,35.71,True
VIAV,US:VIAV,96,True,True,True,29.67,31.153500000000005,30.85,1.7798648436329623,31.42,True
AEIS,US:AEIS,95,False,False,False,340.26,357.273,338.51,1.057061474165908,347.28,True
AGCC,US:AGCC,95,False,False,False,14.655,15.38775,13.13,0.7010746399590614,15.47,False
AGH,US:AGH,95,False,False,False,4.6,4.83,4.145,0.16733196242087012,8.25,False
ALB,US:ALB,95,True,True,True,195.69,205.4745,195.87,1.4284551107854213,206.0,True
AMLX,US:AMLX,95,False,False,False,15.79,16.5795,14.37,0.3950889133553532,17.49,False
AMPX,US:AMPX,95,False,False,False,14.86,15.603,11.06,0.9555713065425856,16.03,False
ANAB,US:ANAB,95,False,False,False,57.74,60.627,55.11,0.5536314359654431,57.74,True
APLD,US:APLD,95,False,False,False,42.27,44.383500000000005,29.08,0.5923378658140243,42.27,False
ASTS,US:ASTS,95,False,False,False,129.89,136.3845,82.36,0.46613803507190155,129.89,False
ASX,US:ASX,95,True,True,False,25.04,26.292,25.11,0.6860393888626082,25.29,True
ASYS,US:ASYS,95,False,False,False,18.59,19.5195,12.76,0.3583791289382591,18.59,False
ATRO,US:ATRO,95,False,False,False,81.89,85.98450000000001,78.84,2.138138771492925,81.89,True
AU,US:AU,95,False,False,False,125.82,132.111,124.5,0.8102317105110529,128.54,True
BELFA,US:BELFA,95,False,False,False,227.42,238.791,217.16,0.5696099894591746,227.42,True
BELFB,US:BELFB,95,False,False,False,248.61,261.0405,234.67,0.7619337184554575,248.61,True
BVN,US:BVN,95,False,False,False,41.12,43.176,40.01,1.1107875335158766,41.29,True
CATX,US:CATX,95,False,False,False,6.16,6.468000000000001,5.55,0.2829781605663007,6.16,True
CBUS,US:CBUS,95,False,False,False,3.76,3.948,3.73,1.6839353104960368,3.8,True
CGAU,US:CGAU,95,False,False,False,20.4,21.419999999999998,19.18,0.5388447570305713,20.4,True
CMTL,US:CMTL,95,False,False,False,6.21,6.5205,5.16,3.1300156317800885,6.21,False
DNN,US:DNN,95,False,False,False,4.43,4.6514999999999995,4.23,0.689541547440164,4.43,True
EQ,US:EQ,95,False,False,False,1.97,2.0685000000000002,1.83,0.4183656256725551,2.35,False
